app_id,app_category,number_of_downloads,standard,standard_reason
1,Business,1B+,Good Standard,"The privacy policy is clearly written and easily understandable. Transparency and lawfulness are demonstrated by the explicit mentions of using user data to provide services (like making connections, suggested job opportunities, educational roles, etc). In terms of purpose limitation, all data usage is specifically outlined and tied directly back to the service the company provides. Moreover, the user has a certain degree of control over their data, and can choose who can see their information or connect with them, aligning with the principles of fairness and lawfulness. Data minimization is practiced to an extent, with only necessary data for the provision of their services being used. However, regarding data accuracy, storage limitation, integrity and confidentiality, the policy does not provide clear information on how long user data is stored, how user data is ensured to be accurate and the specific measures taken to secure user data. But based on the available information, the policy appears to meet most of the principles of good standard."
2,Business,1K+,Good Standard,"The privacy policy provided by OfferUp exhibits a strong adherence to the GDPR Article 5 principles. Firstly, the policy displays lawfulness, fairness, and transparency by explicitly stating how data is collected, used, and shared. It explicitly states its legal basis for data processing in several sections such as ""How We Use Your Information"" and ""Why We May Share Your Information and When"". It ensures fairness and transparency through clear communication with the user, mentioning all practices in an easy-to-understand format. Secondly, the policy maintains the principle of purpose limitation by mentioning the specific purposes in their data collection and user services. Concerning the data minimization principle, their policy asserts that they only collect data necessary for performing their service. Furthermore, the policy repeatedly mentions measures for data accuracy, where users can constantly update and rectify their information in the ""Your Choices"" section. The policy also addresses the aspect of storage limitation, despite not mentioning a specific retention duration, it indicates that data will not be stored longer than it is necessary, especially when deleting an account. Lastly, the policy asserts that they have appropriate security measures in place to protect the users' data integrity and confidentiality under its ''Security'' section. Overall, OfferUp has shown a considerable level of commitment to the GDPR guidelines."
3,Business,1K+,Good Standard,"The privacy policy adheres to the Good Standard due to several reasons:
1. Lawfulness, Fairness, and Transparency: The policy clearly states the legal basis for processing data (UK GDPR) and ensures that the data processing does not unjustly affect the data subject. It mentions the specific data being collected and the purposes for which it is collected.
2. Purpose Limitation: The policy demonstrates purpose limitation by specifying that the data collected is used for delivering Health and Safety services, operations, auditing, and analysis which aligns with the information collected.
3. Data Minimization: Although the policy doesn't explicitly state that it is only collecting necessary data, it doesn't mention any excessive collection of data either. The types of data collected listed all relate directly to the services the company provides.
4. Accuracy: While not explicitly stated, the policy implies accuracy in data by allowing users the right to rectification, which means the possibility to correct any inaccurate or incomplete data.
5. Storage Limitation: The policy mentions that data will be kept for as long as necessary to fulfill its purpose, with a typical period of 6 years mentioned.
6. Integrity and Confidentiality: The policy clearly outlines the security measures implemented to protect data against unauthorized access, accidental loss, destruction, or damage by using a world-leading platform (Microsoft Azure) and carry out regular vulnerability checks.
The policy also ensures the user's rights such as the right to be informed, right to access, right to rectification, right to erasure, right to restrict processing, right to data portability, and the right to object. It also provides information on how to exercise these rights.
Therefore, on these grounds, the privacy policy aligns with the Good Privacy Policy Standards."
4,Business,1K+,Good Standard,"The privacy policy provided by Nexxio generally meets the standards set out by the GDPR Article 5. For instance, the policy clearly sets out its legal basis under which customers' data will be collected, used, stored, and shared. It specifies the types of personal data collected, explains how data is collected from various sources, and asserts that data will be used for specific reasons related to the operation and promotion of the Nexxio platform. The policy also provides mechanisms for users to access, review, update, modify, or delete their data, demonstrating a commitment to allowed user's control over their data. As for storage limitation, it mentions that they will retain personal data for as long as reasonably necessary and in event of complaints or potential litigation. Also, integrity and confidentiality are addressed by stating that appropriate security measures are in place and only people with a business need to know will process personal data. Finally, it acknowledges it's responsibility in case of sharing data with third party service providers, stating that these providers are not allowed to use the data for their own purposes but only for specified purposes and in accordance with Nexxio’s instructions. However, the company should provide more specific information about how long the information is kept and specify the measures taken to ensure data security."
5,Business,1K+,Good Standard,"The privacy policy provided by Yardi Systems demonstrates adherence to the GDPR Article 5 principles hence classifying it as of Good Standard. The policy clearly articulates the lawfulness and transparency of their data processing activities. They emphasize on data minimization by only collecting data relevant for their services. They have a clear commitment to the accuracy and integrity of data; they allow users to correct, update, change or erase personal information. The document assures users of stringent security measures implemented to protect their personal data, stating that Yardi uses appropriate administrative, technical, and physical security measures. The document also includes provisions for storage limitation, mentioning that they retain personal information for a period necessary based on their legitimate business needs. This policy exhibits a firm commitment to adhere to the GDPR principles. However, it is noteworthy to mention that the document could be better by specifying the exact period of data retention. Despite this, the overall policy meets the criteria for a Good Standard Privacy Policy."
6,Business,1M+,Good Standard,"The privacy policy conforms to the standards of good privacy policy in several ways. Under the principles of lawfulness, fairness, and transparency, the document clearly communicates its data processing activities and the legal basis for such processing, which includes consent from users (California residents in this case). The policy is minimally invasive, which aligns with the principle of data minimization, as it does not attempt to collect or process more data than necessary to fulfill user requests. The policy strongly emphasizes the rights of data subjects including access to personal information, deletion of personal information, correction of inaccuracies, and control over sensitive personal information (SPI), thus upholding the principle of accuracy. As for the principle of storage limitation, it details that personal data would only be stored and processed to the extent required by law. Lastly, the policy demonstrates fairness and integrity by allowing for user control over their personal information, and the organization also provides a procedure for user verification to ensure data security, which aligns with the principles of data integrity and confidentiality."
7,Business,1M+,Good Standard,"The privacy policy of TrueBlue, Inc. demonstrates good standards for several reasons.
1. Lawfulness, Fairness, and Transparency: The document clearly states the purposes of data collection, the type of data collected, and how it is processed (sections regarding ""WHAT INFORMATION WE MAY COLLECT AND PROCESS"" and ""HOW WE USE THE INFORMATION WE COLLECT""). It also provides information on how data subjects can exercise their rights (""YOUR RIGHTS AND CHOICES"" section) and is transparent about third-party sharing (""WHO WE SHARE YOUR INFORMATION WITH"").
2. Purpose Limitation: The privacy policy identifies specific reasons for data collection, which mainly relate to TrueBlue's recruitment, sales, marketing, advertisement, staffing, or employment activities (""This Notice applies to personal information..."" section). It declares that the data will not be used for purposes incompatible with these which provides clarity of purpose limitation.
3. Data Minimization: The policy collects necessary information only pertinent to the employment/professional environment, and this ensures adherence to data minimization.
4. Accuracy: TrueBlue specifies that it attains updates from third-party websites like job search websites or social media in the ""Information Supplied by Others"" section, implying a commitment to maintaining the accuracy of data.
5. Storage Limitation: The policy illustrates storage limitation by committing to retain data for as long as necessary according to the function of its services, legal obligations, and other factors detailed in the ""RETENTION AND DELETION"" section.
6. Integrity and Confidentiality: It exhibits a commitment to data security through its measures regarding 'cookies.' Additionally, the firm uses service providers for infrastructure management indicating safeguarding of data.
The privacy policy could have further improved if it provided more specific information about the implemented security measures to protect data and the exact retention periods for different types of data."
8,Business,1M+,Good Standard,"This privacy policy adheres effectively to the principle of lawfulness, fairness, and transparency. Lawfulness can be seen where RingCentral mentions its commitment to protect user privacy and it delivers a clear explanation of their privacy practices, showing transparency. Association with the fairness principle is evident where the policy states the presence of choices for users regarding the use, access, deletion, and correction of their personal data. The policy also mentions providing supplemental terms, conditions, privacy statements, and notices at or before data collection, supporting transparency and fairness. However, an all-encompassing classification will require a more detailed review of their practices related to purpose limitation, data minimization, accuracy, storage limitation, and integrity & confidentiality, which is not included in the given information."
9,Business,1M+,Good Standard,"The privacy policy outline provided regarding data collection and usage adheres to the principles of fairness, transparency, and lawfulness. This policy provides clarity on how personal data is collected and it ensures that data processing does not unjustly affect the data subject (""We will ask for your permission when we need the information that can verify your identify or reach you.""). The policy outlines under what circumstances this information would be disclosed, making it transparent in its data handling processes (""We will disclose your personal information in accordance with legal requirements, the relevant terms of service of our company or the software license agreement, or we have good reasons to believe that we have to do so to..."").
Additionally, the policy addresses the principles of data minimization and storage limitation by stating that only relevant data is collected and affirms it will not be shared with third parties without the user's consent (""We don’t require you have to provide any of the above information..."".
Furthermore, the policy abides by the principles of integrity and confidentiality as it strives to protect user data from unauthorized access, use or disclosure (""We strictly protect the security of your personal information. We will use a variety of security techniques and procedures to protect your personal information from unauthorized access, use or disclosure.""), demonstrating its alignment with the principles defined by GDPR Article 5.
However, it vaguely addresses the principle of data accuracy as it doesn’t clearly provide information on how users can rectify or update their data."
10,Business,1M+,Good Standard,"The privacy policy of Tenstreet LLC is in compliance with the standards provided in GDPR principles. Specifically, it shows commitment towards lawfulness by clearly depicting its legal basis for data processing i.e., user consent and usage of services. It also shows fairness by explicitly describing that no personal data of users will be provided to employers unless explicitly directed by users. For transparency, it gives understandable explanations of the users’ data being collected, used, shared, and protected. It clearly intends to collect data for specified, explicit, and legitimate purposes i.e., for its platform's services. It emphasizes the accuracy of data by taking permission from users to verify their data. Tenstreet also caters to data minimization by only gathering necessary information. As per GDPR principles, it has specified that personal data will be stored for a duration in accordance with the policies of the Employer and as required by law i.e., it follows storage limitations. Additionally, Tenstreet has enforced integrity and confidentiality through strong security measures, safeguarding the users' data against unauthorized access or disclosure."
